id,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
31,5,1,8,0,8,3,0.3,4,2,2,0.67,10,3,1,2,5,15.41,11.9,2182.44,0.06,40,0.08,121.25,183.4,1,2,4,9,0.23,17,23,10,14,13,80,10,N
32,5,1,7,0,8,3,0.33,4,2,2,0.67,10,3,1,2,4,13.81,12.44,2139.14,0.06,38,0.08,118.84,171.9,1,2,4,9,0.25,16,22,9,14,12,77.78,9,N
33,11,0,13,0,20,6,0.43,10,2,1,0.17,20,1,0,1,3,8.78,13.33,1560,0.04,39,0.08,86.67,117,0.17,5,10,16,0.38,16,23,3,5,16,92.86,14,N
34,11,1,13,0,20,6,0.43,10,2,4,0.67,25,1,0,1,4,10.33,15.75,2563.7,0.05,49,0.06,142.43,162.77,0.17,5,10,21,0.38,21,28,4,6,16,92.86,14,N
35,9,10,35,0,14,5,0.12,6,2.33,4,0.8,30,3,0,6,8,43.37,24.25,25506.03,0.35,199,0.04,1417,1051.8,0.6,4,7,27,0.11,97,102,26,13,46,85.37,41,N
36,9,10,35,0,14,5,0.12,6,2.33,4,0.8,30,3,0,6,9,45.29,24.8,27844.43,0.37,211,0.04,1546.91,1122.93,0.6,4,7,27,0.11,103,108,27,13,46,85.37,41,N
37,13,1,16,0,24,7,0.35,12,2,5,0.71,25,7,1,4,5,11.55,35,14143.26,0.13,92,0.03,785.74,404.09,1,6,12,20,0.27,35,57,7,14,26,80,20,N
38,13,2,16,0,24,7,0.35,12,2,7,1,26,7,1,4,6,14.12,29.25,12076.68,0.14,94,0.03,670.93,412.88,1,6,12,21,0.26,36,58,8,13,27,80,20,N
39,3,2,8,2,4,2,0.2,2,2,2,1,8,1,0,2,4,14.37,18.94,5158.22,0.09,63,0.05,286.57,272.28,0.5,1,2,8,0.13,31,32,9,11,16,83.33,10,N
40,3,2,8,2,4,2,0.2,2,2,2,1,8,1,0,2,5,16.21,18.15,5341.28,0.1,67,0.06,296.74,294.29,0.5,1,2,8,0.12,33,34,10,11,17,83.33,10,N
41,3,2,10,2,4,2,0.17,2,2,2,1,8,1,0,2,5,18.5,11.25,2341.67,0.07,49,0.09,130.09,208.15,0.5,1,2,8,0.11,25,24,10,9,18,85.71,12,N
42,3,2,10,2,4,2,0.17,2,2,2,1,8,1,0,2,6,20.75,11.45,2722.81,0.08,55,0.09,151.27,237.71,0.5,1,2,8,0.11,28,27,11,9,18,85.71,12,N
43,11,8,29,0,18,6,0.18,8,2.25,4,0.67,31,3,0,4,5,28.97,28.95,24283,0.28,161,0.03,1349.06,838.72,0.5,5,9,27,0.16,76,85,21,16,38,87.88,33,N
44,11,9,29,0,18,6,0.18,8,2.25,5,0.83,32,3,0,4,6,32.25,27.61,24598.68,0.3,171,0.04,1366.59,890.82,0.5,5,9,28,0.16,81,90,22,15,38,87.88,33,N
45,5,3,10,0,8,3,0.25,4,2,2,0.67,12,1,0,2,4,16.72,15.27,3900.84,0.09,55,0.07,216.71,255.41,0.33,2,4,11,0.2,24,31,11,14,15,83.33,12,N
46,5,3,10,0,8,3,0.25,4,2,2,0.67,12,1,0,2,5,18.2,15.75,4515.95,0.1,61,0.06,250.89,286.73,0.33,2,4,11,0.2,27,34,12,14,15,83.33,12,N
47,5,4,5,0,8,3,0.5,4,2,2,0.67,13,1,0,1,4,19.31,8.89,1525.99,0.06,42,0.11,84.78,171.67,0.33,2,4,12,0.33,20,22,9,8,9,83.33,6,N
48,5,5,5,0,8,3,0.5,4,2,3,1,14,1,0,1,5,21.72,9.6,2001.56,0.07,50,0.1,111.2,208.5,0.33,2,4,13,0.33,24,26,10,8,9,83.33,6,N
49,11,4,14,0,18,6,0.38,8,2.25,4,0.67,22,4,0,2,7,18.65,20.42,7773.35,0.13,81,0.05,431.85,380.74,0.67,5,9,18,0.27,35,46,12,14,22,87.5,16,N
50,11,3,14,0,18,6,0.38,8,2.25,3,0.5,21,4,0,2,6,16.23,21.14,7252.56,0.11,73,0.05,402.92,343.13,0.67,5,9,17,0.27,31,42,11,15,22,87.5,16,N
51,5,0,7,0,6,3,0.33,2,3,1,0.33,8,3,1,2,4,12.51,18,4052.52,0.08,53,0.06,225.14,225.14,1,2,3,7,0.25,21,32,7,12,12,77.78,9,N
52,5,1,7,0,6,3,0.33,2,3,2,0.67,9,3,1,2,5,13.51,17.87,4318.2,0.08,55,0.06,239.9,241.58,1,2,3,8,0.25,22,33,8,13,12,77.78,9,N
53,5,3,13,0,8,3,0.18,4,2,3,1,11,1,0,4,3,15.13,20.3,6236.01,0.1,67,0.05,346.44,307.19,0.33,2,4,10,0.15,29,38,10,14,20,76.47,17,N
54,5,3,13,0,8,3,0.18,4,2,3,1,11,1,0,4,4,16.59,21,7314.07,0.12,75,0.05,406.34,348.29,0.33,2,4,10,0.15,33,42,11,14,20,76.47,17,N
55,5,2,3,0,8,3,0.75,4,2,2,0.67,12,1,0,1,3,10.57,12.86,1747.72,0.05,32,0.08,97.1,135.93,0.33,2,4,11,0.43,15,17,7,12,7,75,4,N
56,7,1,5,0,10,4,0.67,4,2.5,2,0.5,11,4,1,1,2,7.46,11,902.49,0.03,21,0.09,50.14,82.04,1,3,5,9,0.44,8,13,4,11,9,83.33,6,N
57,3,1,1,0,4,2,1,2,2,2,1,6,1,0,1,2,6.75,6.67,299.82,0.01,13,0.15,16.66,44.97,0.5,1,2,6,0.4,5,8,3,8,5,50,2,N
58,7,1,9,0,12,4,0.33,6,2,2,0.5,17,3,0,3,4,9.49,14,1859.68,0.04,34,0.07,103.32,132.83,0.75,3,6,15,0.27,14,20,5,10,15,75,12,N
59,3,3,4,0,4,2,0.4,2,2,2,1,8,1,0,1,4,14.13,8.57,1038.11,0.04,31,0.12,57.67,121.11,0.5,1,2,8,0.22,15,16,7,8,9,80,5,N
60,7,4,16,0,10,4,0.2,4,2.5,3,0.75,16,3,0,4,7,23.28,16.67,6466.18,0.13,87,0.06,359.23,387.97,0.75,3,5,14,0.15,40,47,12,10,27,80,20,N
61,5,0,12,0,8,3,0.21,4,2,1,0.33,10,1,0,2,5,11.04,18.86,3925.09,0.07,49,0.05,218.06,208.15,0.33,2,4,9,0.18,22,27,7,12,17,85.71,14,N
62,11,3,19,3,20,6,0.27,10,2,2,0.33,25,5,0,3,7,17.87,23.79,10108.93,0.14,85,0.04,561.61,425,0.83,5,10,21,0.21,37,48,14,18,29,88,22,N
63,11,2,19,3,20,6,0.27,10,2,1,0.17,24,5,0,3,6,17.09,23.54,9471.05,0.13,82,0.04,526.17,402.37,0.83,5,10,20,0.21,36,46,13,17,29,88,22,N
64,13,2,20,4,22,7,0.3,10,2.2,1,0.14,23,7,1,3,5,15.01,26.31,10391.54,0.13,79,0.04,577.31,395,1,6,11,18,0.23,36,43,13,19,30,88.89,23,N
65,13,3,20,4,22,7,0.3,10,2.2,2,0.29,24,7,1,3,6,15.78,26.43,11025.26,0.14,82,0.04,612.51,417.17,1,6,11,19,0.23,37,45,14,20,31,88.89,23,N
66,3,5,10,0,4,2,0.18,2,2,2,1,9,1,0,1,5,29.37,8.65,2199.7,0.08,57,0.12,122.21,254.19,0.5,1,2,9,0.13,25,32,13,9,16,90.91,11,N
67,15,7,38,0,26,8,0.18,12,2.17,4,0.5,37,4,0,7,8,28.74,34.11,33446.1,0.33,183,0.03,1858.12,980.43,0.5,7,13,31,0.15,79,104,22,19,52,84.44,45,N
68,3,5,6,1,4,2,0.29,2,2,2,1,10,1,0,1,4,26.87,6.36,1087.97,0.06,41,0.16,60.44,170.97,0.5,1,2,10,0.15,20,21,11,7,13,87.5,7,N
69,3,6,9,0,4,2,0.18,2,2,2,1,10,1,0,2,4,25.37,11.25,3210.79,0.1,64,0.09,178.38,285.4,0.5,1,2,10,0.13,27,37,12,10,15,81.82,11,N
70,3,6,9,0,4,2,0.18,2,2,2,1,10,1,0,2,5,27.58,11.15,3430.95,0.1,68,0.09,190.61,307.6,0.5,1,2,10,0.13,29,39,13,10,15,81.82,11,N
71,3,3,12,0,4,2,0.13,2,2,2,1,9,1,0,3,5,23.84,19.04,8641.77,0.15,99,0.05,480.1,453.91,0.5,1,2,9,0.11,45,54,13,11,19,80,15,N
72,3,3,14,0,4,2,0.12,2,2,2,1,9,1,0,3,6,25.77,19.64,9942.83,0.17,109,0.05,552.38,506.18,0.5,1,2,9,0.1,50,59,14,11,21,82.35,17,N
73,3,1,2,0,4,2,0.67,2,2,2,1,8,1,0,1,3,10.24,5.6,321.21,0.02,16,0.18,17.85,57.36,0.5,1,2,8,0.33,8,8,5,7,6,66.67,3,N
74,3,1,2,0,4,2,0.67,2,2,2,1,8,1,0,1,4,12.69,5.25,349.69,0.02,18,0.19,19.43,66.61,0.5,1,2,8,0.29,9,9,6,7,7,66.67,3,N
75,3,0,7,0,4,2,0.22,2,2,1,0.5,6,1,0,2,2,7.69,11.67,1046.41,0.03,27,0.09,58.13,89.69,0.5,1,2,6,0.18,10,17,3,7,11,77.78,9,N
76,3,1,7,0,4,2,0.22,2,2,2,1,7,1,0,2,3,9.45,11,1143.6,0.03,29,0.09,63.53,103.96,0.5,1,2,7,0.18,11,18,4,8,11,77.78,9,N
77,9,1,8,0,16,5,0.5,8,2,2,0.4,18,3,0,2,3,8.77,19.5,3333.86,0.06,41,0.05,185.21,170.97,0.6,4,8,15,0.36,15,26,5,13,14,80,10,N
78,9,2,8,0,16,5,0.5,8,2,5,1,20,3,0,2,4,10.38,18.42,3520.47,0.06,45,0.05,195.58,191.16,0.6,4,8,17,0.36,17,28,6,13,14,80,10,N
79,5,0,4,0,8,3,0.6,4,2,1,0.33,8,1,0,1,3,7.7,13.5,1403.51,0.03,29,0.07,77.97,103.96,0.33,2,4,7,0.38,9,20,3,9,8,80,5,N
80,5,1,4,0,8,3,0.6,4,2,2,0.67,9,1,0,1,4,8.53,15,1920,0.04,32,0.07,106.67,128,0.33,2,4,8,0.3,10,22,4,12,10,80,5,N
81,5,1,9,0,8,3,0.25,4,2,2,0.67,9,1,0,3,5,9.96,15.6,2423.05,0.05,38,0.06,134.61,155.32,0.33,2,4,8,0.19,13,25,5,12,16,75,12,N
82,5,0,9,0,8,3,0.25,4,2,1,0.33,8,1,0,3,4,9.59,13.5,1748.46,0.04,35,0.07,97.14,129.52,0.33,2,4,7,0.2,12,23,4,9,15,75,12,N
83,5,4,17,1,8,3,0.15,4,2,2,0.67,14,1,0,3,5,22.46,14.39,4653.68,0.11,68,0.07,258.54,323.33,0.33,2,4,13,0.12,31,37,14,13,25,85.71,20,N
84,5,3,18,1,8,3,0.14,4,2,2,0.67,13,1,0,3,4,19.43,16.14,5069.44,0.1,66,0.06,281.64,313.82,0.33,2,4,12,0.12,30,36,13,14,26,86.36,21,N
85,5,1,13,1,8,3,0.19,4,2,2,0.67,11,1,0,3,5,15.13,14.95,3381.36,0.08,50,0.07,187.85,226.18,0.33,2,4,10,0.14,23,27,10,13,22,82.35,16,N
86,5,0,14,1,8,3,0.18,4,2,1,0.33,10,1,0,3,4,14.37,14.67,3092.19,0.07,48,0.07,171.79,210.83,0.33,2,4,9,0.14,22,26,9,12,22,83.33,17,N
87,3,0,1,0,4,2,1,2,2,1,0.5,6,1,0,1,1,5,6,180,0.01,10,0.17,10,30,0.5,1,2,6,0.5,4,6,2,6,4,50,2,N
88,5,4,3,0,8,3,0.75,4,2,3,1,13,1,0,1,1,14.36,8.36,1002.86,0.04,30,0.12,55.71,120,0.33,2,4,12,0.5,13,17,7,9,6,75,4,N
89,7,0,7,0,12,4,0.44,6,2,1,0.25,13,4,1,2,2,5.74,20,2294.27,0.04,31,0.05,127.46,114.71,1,3,6,11,0.36,12,19,3,10,11,77.78,9,N
90,7,1,7,0,12,4,0.44,6,2,2,0.5,14,4,1,2,3,6.77,19.5,2574,0.04,33,0.05,143,132,1,3,6,12,0.33,13,20,4,12,12,77.78,9,N
91,3,2,6,4,4,2,0.25,2,2,2,1,7,1,0,2,2,19.8,6.11,739.53,0.04,28,0.16,41.08,121.01,0.5,1,2,7,0.14,10,18,9,11,14,83.33,8,N
92,3,2,6,4,4,2,0.25,2,2,2,1,7,1,0,2,2,19.8,6.11,739.53,0.04,28,0.16,41.08,121.01,0.5,1,2,7,0.14,10,18,9,11,14,83.33,8,N
93,5,7,5,6,8,3,0.5,4,2,3,1,17,1,0,1,3,24.08,11.85,3379.63,0.1,60,0.08,187.76,285.29,0.33,2,4,16,0.18,22,38,13,14,17,91.67,6,N
94,3,4,2,0,4,2,0.67,2,2,2,1,9,1,0,1,1,16.73,4.5,338.78,0.03,21,0.22,18.82,75.28,0.5,1,2,9,0.4,9,12,6,6,5,66.67,3,N
95,3,5,3,0,4,2,0.5,2,2,2,1,10,1,0,1,3,19.7,8.25,1340.75,0.05,37,0.12,74.49,162.52,0.5,1,2,10,0.22,15,22,10,11,9,75,4,N
96,3,2,2,0,4,2,0.67,2,2,2,1,6,1,0,1,1,13.4,5.25,369.2,0.02,18,0.19,20.51,70.32,0.5,1,2,6,0.4,7,11,6,9,5,66.67,3,N
97,3,2,2,0,4,2,0.67,2,2,2,1,6,1,0,1,1,13.4,5.25,369.2,0.02,18,0.19,20.51,70.32,0.5,1,2,6,0.4,7,11,6,9,5,66.67,3,N
98,3,2,2,0,4,2,0.67,2,2,2,1,8,1,0,1,1,10.15,9,822.39,0.03,24,0.11,45.69,91.38,0.5,1,2,8,0.4,10,14,5,9,5,66.67,3,N
99,5,7,6,2,8,3,0.43,4,2,2,0.67,16,1,0,1,4,23.88,12.66,3824.79,0.1,61,0.08,212.49,302.21,0.33,2,4,15,0.2,27,34,16,15,15,88.89,7,N
100,3,5,5,2,4,2,0.33,2,2,2,1,9,1,0,1,2,20.94,8.18,1401.55,0.06,39,0.12,77.86,171.3,0.5,1,2,9,0.17,18,21,11,10,12,87.5,6,N
101,3,4,4,0,4,2,0.4,2,2,2,1,10,1,0,1,3,19.35,6.25,755.8,0.04,29,0.16,41.99,120.93,0.5,1,2,10,0.22,10,19,8,10,9,80,5,N
102,3,4,4,2,4,2,0.4,2,2,2,1,8,1,0,1,3,19.45,8,1244.72,0.05,36,0.13,69.15,155.59,0.5,1,2,8,0.17,16,20,10,10,12,85.71,5,N
103,5,4,4,2,8,3,0.6,4,2,3,1,12,1,0,1,3,17.8,10.05,1796.26,0.06,39,0.1,99.79,178.81,0.33,2,4,11,0.25,17,22,11,13,12,85.71,5,N
104,3,6,3,2,4,2,0.5,2,2,2,1,11,1,0,1,0,11.09,4,177.52,0.01,14,0.25,9.86,44.38,0.5,1,2,11,0.25,4,10,3,6,8,83.33,4,N
105,5,7,3,2,6,3,0.75,2,3,3,1,14,3,1,1,1,13.22,5.6,414.45,0.02,20,0.18,23.02,74.01,1,2,3,13,0.38,7,13,5,8,8,83.33,4,N
106,7,0,1,0,10,4,2,2,5,1,0.25,9,3,0,1,3,7.14,10.67,811.81,0.03,22,0.09,45.1,76.11,0.75,4,7,7,1,8,14,3,8,4,50,2,N
107,1,1,1,0,4,1,0.5,2,2,1,1,2,1,0,1,2,9.51,3,85.59,0.01,9,0.33,4.75,28.53,1,1,2,3,0.2,3,6,3,6,5,50,2,N
108,3,1,2,0,6,2,0.67,2,3,1,0.5,6,1,0,1,3,9.09,8.8,704,0.03,20,0.11,39.11,80,0.5,2,3,6,0.33,8,12,5,11,6,66.67,3,N
109,3,2,2,0,6,2,0.67,2,3,2,1,6,1,0,1,4,11.98,7.5,673.94,0.03,23,0.13,37.44,89.86,0.5,2,3,6,0.33,10,13,6,9,6,66.67,3,N
110,5,6,6,0,6,3,0.38,2,3,3,1,14,3,1,2,1,16.52,11.25,2090.73,0.06,43,0.09,116.15,185.84,1,2,3,13,0.3,15,28,8,12,10,75,8,N
111,7,5,8,4,12,4,0.44,6,2,2,0.5,19,1,0,1,3,19.61,15.3,4590,0.1,60,0.07,255,300,0.25,3,6,17,0.22,27,33,15,17,18,92.31,9,N
112,17,2,34,0,32,9,0.23,16,2,3,0.33,36,3,0,6,3,24.75,23,13091.58,0.19,116,0.04,727.31,569.2,0.33,8,16,29,0.2,46,70,15,15,44,85,40,N
113,3,4,4,0,4,2,0.4,2,2,2,1,9,1,0,1,3,20.22,7.5,1137.16,0.05,34,0.13,63.18,151.62,0.5,1,2,9,0.22,15,19,11,11,9,80,5,N
114,3,0,2,0,4,2,0.67,2,2,1,0.5,5,1,0,1,3,8.3,6.67,369.01,0.02,16,0.15,20.5,55.35,0.5,1,2,5,0.33,5,11,3,8,6,66.67,3,N
115,3,0,2,0,4,2,0.67,2,2,1,0.5,5,1,0,1,3,8.3,6.67,369.01,0.02,16,0.15,20.5,55.35,0.5,1,2,5,0.29,5,11,3,8,7,66.67,3,N
116,5,0,2,0,8,3,1,4,2,1,0.33,8,1,0,1,4,10.04,5,250.95,0.02,14,0.2,13.94,50.19,0.33,2,4,7,0.6,5,9,4,8,5,66.67,3,N
117,5,1,2,0,8,3,1,4,2,2,0.67,9,1,0,1,4,10.04,5,250.95,0.02,14,0.2,13.94,50.19,0.33,2,4,8,0.5,5,9,4,8,6,66.67,3,N
118,3,1,1,0,4,2,1,2,2,1,0.5,7,1,0,1,0,7.83,4.67,170.53,0.01,11,0.21,9.47,36.54,0.5,1,2,7,0.5,4,7,3,7,4,50,2,N
119,3,1,4,0,4,2,0.33,2,2,2,1,6,1,0,2,2,8.24,5,206.05,0.01,13,0.2,11.45,41.21,0.5,1,2,6,0.25,5,8,3,6,8,66.67,6,N
120,3,0,3,0,4,2,0.5,2,2,1,0.5,5,1,0,1,1,7.19,9,582.53,0.02,17,0.11,32.36,64.73,0.5,1,2,5,0.33,3,14,2,12,6,75,4,N
121,3,2,1,0,4,2,1,2,2,2,1,7,1,0,1,0,9.25,4.67,201.53,0.01,13,0.21,11.2,43.19,0.5,1,2,7,0.5,4,9,3,7,4,50,2,N
122,7,2,4,0,12,4,0.8,6,2,2,0.5,13,1,0,1,1,17.95,7.94,1133.07,0.05,33,0.13,62.95,142.62,0.25,3,6,11,0.57,13,20,9,11,7,80,5,N
123,3,0,1,0,4,2,1,2,2,1,0.5,5,1,0,1,3,7.83,4.67,170.53,0.01,11,0.21,9.47,36.54,0.5,1,2,5,0.5,4,7,3,7,4,50,2,N
124,3,0,2,0,4,2,0.67,2,2,1,0.5,5,1,0,1,3,9.87,5.63,312.22,0.02,15,0.18,17.35,55.51,0.5,1,2,5,0.4,5,10,4,9,5,66.67,3,N
125,9,3,12,4,16,5,0.31,8,2,5,1,24,5,1,4,2,18.2,14,3567.06,0.08,53,0.07,198.17,254.79,1,4,8,21,0.21,21,32,12,16,24,80,16,N
126,13,4,28,1,18,7,0.21,6,3,5,0.71,37,7,1,5,2,16.67,30.46,15468.34,0.17,99,0.03,859.35,507.8,1,6,9,32,0.19,36,63,13,22,37,85.29,33,N
127,5,0,3,0,6,3,0.75,2,3,1,0.33,7,3,1,1,3,6.92,8,442.81,0.02,16,0.13,24.6,55.35,1,2,3,6,0.5,6,10,3,8,6,75,4,N
128,3,1,7,0,4,2,0.22,2,2,2,1,8,1,0,2,4,13.18,10.93,1573.71,0.05,36,0.09,87.43,144,0.5,1,2,8,0.14,17,19,7,9,14,77.78,9,N
129,3,1,7,0,4,2,0.22,2,2,2,1,8,1,0,2,5,15.3,10.69,1747.39,0.05,40,0.09,97.08,163.5,0.5,1,2,8,0.13,19,21,8,9,15,77.78,9,N
130,9,3,12,1,16,5,0.31,8,2,5,1,23,5,1,4,2,20.76,10.29,2198.48,0.07,46,0.1,122.14,213.62,1,4,8,20,0.24,19,27,12,13,21,76.47,16,N
131,7,3,6,1,12,4,0.5,6,2,4,1,18,4,1,2,2,17.33,8.33,1203.58,0.05,34,0.12,66.87,144.43,1,3,6,16,0.31,15,19,9,10,13,77.78,8,N
132,5,1,7,0,8,3,0.33,4,2,2,0.67,10,3,1,2,4,11.78,9.17,990,0.04,27,0.11,55,108,1,2,4,9,0.25,11,16,6,10,12,77.78,9,N
